"Sample","Age"
"12h_s01-12h","12h"
"12h_s02-12h","12h"
"14h_s03-14h","14h"
"14h_s04-14h","14h"
"16h_s05-16h","16h"
"16h_s06-16h","16h"
"18h_s07-18h","18h"
"18h_s08-18h","18h"
"20h_s09-20h","20h"
"20h_s10-20h","20h"
"20h_s11-20h","20h"
"24h_s10-24h","24h"
"24h_s11-24h","24h"
"24h_s12-24h","24h"
"36h_s70-36h","36h"
"36h_s71-36h","36h"
"2d_s13-2d","2d"
"2d_s14-2d","2d"
"2d_s15-2d","2d"
"2d_s16-2d","2d"
"2d_s17-2d","2d"
"2d_s18-2d","2d"
"3d_s19-3d","3d"
"3d_s20-3d","3d"
"3d_s21-3d","3d"
"3d_s22-3d","3d"
"3d_s23-3d","3d"
"3d_s24-3d","3d"
"5d_s27-5d","5d"
"5d_s28-5d","5d"
"5d_s29-5d","5d"
"5d_s30-5d","5d"
"5d_s31-5d","5d"
"5d_s32-5d","5d"
"5d_s33-5d","5d"
"5d_s34-5d","5d"
"5d_s35-5d","5d"
"8d_s36-8d","8d"
"8d_s37-8d","8d"
"8d_s38-8d","8d"
"8d_s39-8d","8d"
"8d_s40-8d","8d"
"8d_s41-8d","8d"
"8d_s42-8d","8d"
"8d_s43-8d","8d"
"8d_s44-8d","8d"
"8d_s45-8d","8d"
"8d_s46-8d","8d"
"8d_s47-8d","8d"
"8d_s48-8d","8d"
"15d_s50-15d","15d"
"15d_s51-15d","15d"
"15d_s52-15d","15d"
"15d_s53-15d","15d"
"15d_s54-15d","15d"
"15d_s55-15d","15d"
"15d_s56-15d","15d"
"15d_s57-15d","15d"
"15d_s58-15d","15d"
"15d_s59-15d","15d"
"15d_s60-15d","15d"
"15d_s61-15d","15d"
"15d_s62-15d","15d"
"15d_s63-15d","15d"
"15d_s64-15d","15d"
"15d_s65-15d","15d"
"15d_s66-15d","15d"
"15d_s67-15d","15d"
"15d_s68-15d","15d"
"15d_s69-15d","15d"
"15d_s70-15d","15d"
